               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.055355,            0.039633,           0.0070589,              0.7349,             0.78441,             0.77215,              0.3422,            0.041679,             0.02861,           0.0031073,           0.0030109,           0.0030109,            0.062411
                  37,            0.051803,            0.036021,           0.0061894,             0.63961,             0.75192,             0.70808,             0.25235,            0.045269,            0.027447,           0.0026924,           0.0030387,           0.0030387,            0.061339
                  38,            0.057279,            0.040906,           0.0058334,             0.78047,             0.79987,             0.82842,             0.36265,            0.045919,            0.027749,           0.0023211,            0.003063,            0.003063,            0.060263
                  39,            0.053827,            0.036756,           0.0051858,             0.94419,             0.64241,             0.85488,             0.40579,            0.039962,            0.027396,           0.0023157,           0.0030837,           0.0030837,            0.059184
                  40,            0.050178,            0.036252,           0.0044838,             0.66564,             0.90152,             0.85832,             0.30039,            0.040636,            0.027724,           0.0021575,           0.0031008,           0.0031008,            0.058101
                  41,            0.053572,            0.040156,           0.0047757,             0.66456,             0.85102,             0.81727,             0.41787,             0.04062,            0.027186,           0.0019488,           0.0031143,           0.0031143,            0.057014
                  42,            0.052574,            0.039582,            0.005637,             0.74578,             0.90217,             0.88756,             0.31636,            0.038158,            0.028225,           0.0020607,           0.0031242,           0.0031242,            0.055924
                  43,            0.050797,            0.039145,           0.0038349,             0.81212,             0.78524,             0.84593,             0.37026,            0.039691,            0.026704,           0.0020215,           0.0031306,           0.0031306,            0.054831
                  44,              0.0493,            0.039884,           0.0047988,             0.76284,             0.96739,              0.9386,             0.43834,            0.036395,            0.026245,           0.0020304,           0.0031335,           0.0031335,            0.053734
                  45,            0.052247,            0.039148,           0.0043627,             0.55432,             0.73464,             0.62026,             0.21093,            0.048575,            0.025172,           0.0019238,            0.003133,            0.003133,            0.052633
                  46,            0.062553,            0.037279,            0.004165,             0.83353,             0.72019,             0.85826,             0.44609,            0.042877,            0.027674,           0.0020119,            0.003129,            0.003129,            0.051529
                  47,             0.05392,            0.040172,           0.0047792,             0.59207,              0.8389,             0.77389,             0.32251,            0.045754,            0.026494,           0.0020259,           0.0031217,           0.0031217,            0.050422
                  48,            0.058772,             0.04072,           0.0036595,             0.62497,             0.88043,             0.81379,             0.39467,            0.047498,            0.027596,           0.0019043,            0.003111,            0.003111,            0.049311
                  49,            0.055916,            0.036756,           0.0043604,             0.78181,             0.66465,             0.83529,             0.31936,            0.040393,             0.02702,            0.002056,           0.0030971,           0.0030971,            0.048197
                  50,            0.052229,            0.037629,           0.0041779,             0.71602,             0.79873,              0.8288,             0.37401,            0.039163,            0.026373,           0.0020424,             0.00308,             0.00308,             0.04708
                  51,            0.051952,            0.038119,           0.0040164,             0.60882,             0.82777,             0.70733,              0.2346,            0.048937,            0.025652,            0.002163,           0.0030598,           0.0030598,             0.04596
