               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11692,            0.052486,            0.028966,             0.00601,             0.01087,           0.0011175,          0.00023152,             0.10385,            0.046745,             0.02952,              0.0001,              0.0001,              0.0991
                   1,             0.10723,            0.059844,            0.026749,           0.0080573,            0.029412,           0.0031037,          0.00060118,            0.099016,            0.046976,            0.028145,          0.00020995,          0.00020995,             0.09811
                   2,             0.09835,            0.060557,            0.024604,            0.013802,             0.18159,           0.0079357,           0.0011793,            0.094684,            0.047092,            0.027512,          0.00031972,          0.00031972,             0.09712
                   3,            0.093049,            0.066647,            0.023296,            0.021263,             0.13043,            0.011568,            0.002072,            0.091335,            0.047507,            0.025697,          0.00042914,          0.00042914,            0.096129
                   4,            0.087303,            0.065258,             0.02123,              0.7475,            0.065217,            0.084885,            0.018968,            0.087235,            0.047196,            0.023692,          0.00053808,          0.00053808,            0.095138
                   5,            0.083435,            0.068396,            0.019411,             0.62542,             0.17391,             0.12927,            0.031323,            0.083086,            0.046872,            0.021819,           0.0006464,           0.0006464,            0.094146
                   6,             0.07872,            0.065043,            0.017231,              0.7082,             0.27174,             0.27033,            0.056435,            0.073136,            0.046558,            0.020025,          0.00075394,          0.00075394,            0.093154
                   7,            0.073241,             0.05868,            0.015683,              0.7012,             0.33696,             0.28977,            0.063228,            0.066433,             0.04455,            0.019225,          0.00086057,          0.00086057,            0.092161
                   8,            0.069498,            0.055341,            0.014117,             0.35712,             0.73529,              0.5811,             0.15305,            0.058858,            0.043685,            0.018026,          0.00096615,          0.00096615,            0.091166
                   9,            0.065734,            0.051536,            0.014811,             0.43164,             0.82209,             0.70536,             0.21721,            0.054503,            0.040455,             0.01623,           0.0010705,           0.0010705,            0.090171
                  10,            0.064096,            0.053717,            0.013628,             0.56688,              0.7289,              0.7582,             0.25765,            0.050793,            0.039373,            0.015852,           0.0011736,           0.0011736,            0.089174
                  11,            0.061886,            0.051524,            0.012498,             0.47249,             0.83568,              0.6726,             0.23048,            0.051865,            0.037066,            0.015204,           0.0012751,           0.0012751,            0.088175
                  12,            0.060449,            0.054757,            0.012038,             0.44782,             0.75755,             0.62978,             0.23476,              0.0512,            0.035319,            0.015123,           0.0013751,           0.0013751,            0.087175
                  13,            0.059149,            0.046295,            0.012385,             0.70206,              0.5855,             0.65143,             0.24188,            0.047369,            0.034602,            0.011948,           0.0014734,           0.0014734,            0.086173
                  14,            0.059542,            0.045843,            0.011691,             0.78895,             0.87987,             0.87227,             0.38393,            0.042076,            0.034049,            0.010139,           0.0015698,           0.0015698,             0.08517
                  15,            0.067112,            0.044584,            0.010419,             0.36966,             0.80278,             0.45535,             0.13501,            0.064121,            0.030136,            0.010115,           0.0016642,           0.0016642,            0.084164
                  16,            0.067362,            0.044851,            0.010763,             0.49681,             0.81394,             0.65043,             0.15102,            0.061484,            0.031585,           0.0093149,           0.0017565,           0.0017565,            0.083156
                  17,            0.070299,            0.041463,           0.0097584,             0.57916,             0.63107,             0.65372,             0.25186,            0.053884,            0.032985,           0.0088998,           0.0018465,           0.0018465,            0.082147
                  18,            0.063817,            0.041741,           0.0097375,             0.67645,             0.86461,             0.80441,             0.38739,            0.046669,            0.031618,            0.007068,           0.0019343,           0.0019343,            0.081134
                  19,            0.064743,            0.042304,             0.00849,             0.63003,             0.64652,              0.7053,             0.24879,            0.057061,            0.029717,           0.0071196,           0.0020196,           0.0020196,             0.08012
                  20,            0.064794,            0.043595,           0.0084207,             0.73076,             0.87157,             0.85146,             0.44387,            0.045111,            0.030446,           0.0066747,           0.0021023,           0.0021023,            0.079102
                  21,            0.060742,            0.041337,           0.0086778,             0.56379,              0.8181,             0.67613,             0.20935,            0.049444,            0.030629,           0.0063522,           0.0021824,           0.0021824,            0.078082
                  22,            0.060538,            0.042721,           0.0078578,              0.6366,              0.6202,             0.64965,             0.20776,            0.050672,            0.030425,           0.0067794,           0.0022598,           0.0022598,             0.07706
                  23,            0.060563,             0.04114,           0.0077022,             0.65248,             0.66248,             0.64503,             0.17161,            0.053868,            0.030634,           0.0057225,           0.0023343,           0.0023343,            0.076034
                  24,            0.058698,            0.038767,           0.0074834,             0.59185,             0.86492,             0.72231,             0.24204,            0.047167,            0.029445,           0.0049682,           0.0024058,           0.0024058,            0.075006
                  25,            0.057375,             0.03958,           0.0073255,             0.60432,              0.7315,             0.70759,             0.26866,            0.044635,             0.02881,           0.0056176,           0.0024744,           0.0024744,            0.073974
                  26,            0.055213,             0.03885,           0.0065027,              0.6862,             0.86488,             0.78094,             0.34257,            0.044854,            0.030042,           0.0051036,           0.0025398,           0.0025398,             0.07294
                  27,            0.057547,             0.04072,            0.007129,             0.60839,             0.81394,             0.77237,             0.28141,            0.045215,            0.028235,           0.0048042,           0.0026021,           0.0026021,            0.071902
                  28,             0.05591,            0.040139,            0.006115,             0.75573,             0.93744,             0.90677,              0.5195,            0.036116,            0.027766,           0.0043045,           0.0026612,           0.0026612,            0.070861
                  29,            0.053205,            0.036277,           0.0069779,             0.62858,             0.85718,             0.71839,             0.31681,            0.044632,            0.027443,           0.0042971,           0.0027169,           0.0027169,            0.069817
